conversation_index,assistant_index,latency
0,0,1.5155081748962402
0,1,2.234368324279785
0,2,4.717618465423584
0,3,1.002765417098999
1,0,0.645514965057373
1,1,2.5554041862487793
1,2,1.4246878623962402
1,3,1.560028314590454
1,4,0.8997092247009277
2,0,1.229973554611206
2,1,1.8541834354400635
2,2,1.3199660778045654
2,3,0.8160147666931152
2,4,0.9166100025177002
3,0,0.7655212879180908
3,1,2.422001361846924
3,2,1.5396831035614014
3,3,1.1360106468200684
3,4,1.4225122928619385
4,0,2.969719409942627
4,1,1.5334322452545166
4,2,1.5368430614471436
4,3,1.2327139377593994
4,4,1.01828932762146
4,5,6.137864828109741
5,0,0.928809404373169
5,1,1.7413742542266846
5,2,1.5348069667816162
5,3,1.4642980098724365
5,4,1.3694961071014404
5,5,1.1650962829589844
6,0,0.8147628307342529
6,1,1.740018367767334
6,2,1.440312147140503
6,3,1.1122510433197021
6,4,1.2328014373779297
6,5,0.8150534629821777
7,0,0.7995526790618896
7,1,2.693927764892578
7,2,1.2763004302978516
7,3,1.2798008918762207
7,4,1.3300399780273438
7,5,1.2303264141082764
7,6,1.133948564529419
8,0,0.9059040546417236
8,1,1.8602607250213623
8,2,1.5296285152435303
8,3,1.1199092864990234
8,4,1.0251853466033936
8,5,1.3386037349700928
8,6,1.6311380863189697
9,0,0.6251354217529297
9,1,1.833616018295288
9,2,1.0464725494384766
9,3,0.8999834060668945
9,4,1.2357547283172607
10,0,0.6050698757171631
10,1,0.7243301868438721
10,2,2.155430316925049
11,0,0.7997467517852783
11,1,0.789837121963501
11,2,1.859546184539795
12,0,1.3603878021240234
12,1,2.14013409614563
12,2,0.9299304485321045
12,3,1.324014663696289
13,0,0.7197582721710205
13,1,1.6461942195892334
13,2,0.8062782287597656
13,3,0.8238101005554199
13,4,1.1247260570526123
14,0,0.828397274017334
14,1,1.8366789817810059
14,2,1.849738359451294
14,3,1.4356474876403809
14,4,1.328303575515747
15,0,1.2283246517181396
15,1,1.319727897644043
15,2,1.13858962059021
15,3,1.1196560859680176
15,4,8.401764631271362
16,0,1.119384765625
16,1,1.43902587890625
16,2,1.7322254180908203
16,3,1.4425311088562012
16,4,0.8152334690093994
16,5,1.3396222591400146
17,0,0.7015078067779541
17,1,1.851226806640625
17,2,1.7472789287567139
17,3,1.4251248836517334
17,4,0.924992561340332
17,5,0.9225358963012695
18,0,0.817634105682373
18,1,2.1598005294799805
18,2,1.83622145652771
18,3,2.964109420776367
18,4,1.134004831314087
18,5,1.6458683013916016
19,0,1.2131829261779785
19,1,1.663733720779419
19,2,1.7228209972381592
19,3,1.1202032566070557
19,4,1.1300597190856934
19,5,1.8396656513214111
19,6,1.0220680236816406
20,0,0.8284831047058105
20,1,1.5320537090301514
20,2,1.118844985961914
20,3,1.13873291015625
20,4,0.9313888549804688
20,5,0.808497428894043
20,6,1.6200361251831055
21,0,0.7003283500671387
21,1,1.7694180011749268
21,2,2.350490093231201
21,3,1.4344666004180908
21,4,1.8557167053222656
22,0,1.2298634052276611
22,1,0.7134692668914795
22,2,1.7424850463867188
23,0,0.703895092010498
23,1,1.1327691078186035
23,2,1.7493133544921875
